pfamA_acc	clan_acc	clan_id	pfamA_id	description
PF12139	NULL	NULL	APS-reductase_C	Adenosine-5'-phosphosulfate reductase beta subunit
PF12140	NULL	NULL	SLED	SLED domain
PF12141	NULL	NULL	BMT	Beta-mannosyltransferases
PF12142	NULL	NULL	PPO1_DWL	Polyphenol oxidase middle domain
PF12143	CL0122	UTRA	PPO1_KFDV	Protein of unknown function (DUF_B2219)
PF12144	NULL	NULL	Med12-PQL	Eukaryotic Mediator 12 catenin-binding domain
PF12145	NULL	NULL	Med12-LCEWAV	Eukaryotic Mediator 12 subunit domain
PF12146	CL0028	AB_hydrolase	Hydrolase_4	Serine aminopeptidase, S33
PF12147	CL0063	NADP_Rossmann	Methyltransf_20	Putative methyltransferase
PF12148	CL0049	Tudor	TTD	Tandem tudor domain within UHRF1
PF12149	NULL	NULL	HSV_VP16_C	Herpes simplex virus virion protein 16 C terminal
PF12150	NULL	NULL	MFP2b	Cytosolic motility protein
PF12151	NULL	NULL	MVL	Mannan-binding protein
PF12152	NULL	NULL	eIF_4G1	Eukaryotic translation initiation factor 4G1
PF12153	NULL	NULL	CAP18_C	LPS binding domain of CAP18 (C terminal)
PF12154	NULL	NULL	HCMVantigenic_N	Glycoprotein B N-terminal antigenic domain of HCMV
PF12155	NULL	NULL	NADHdh-2_N	NADH dehydrogenase subunit 2 N-terminal
PF12156	CL0175	TRASH	ATPase-cat_bd	Putative metal-binding domain of cation transport ATPase
PF12157	CL0662	Triple_barrel	DUF3591	Protein of unknown function (DUF3591)
PF12158	NULL	NULL	DUF3592	Protein of unknown function (DUF3592)
PF12159	NULL	NULL	DUF3593	Protein of unknown function (DUF3593)
PF12160	NULL	NULL	Fibrinogen_aC	Fibrinogen alpha C domain
PF12161	NULL	NULL	HsdM_N	HsdM N-terminal domain
PF12162	NULL	NULL	STAT1_TAZ2bind	STAT1 TAZ2 binding domain
PF12163	CL0067	SIS	HobA	DNA replication regulator
PF12164	NULL	NULL	SporV_AA	Stage V sporulation protein AA
PF12165	NULL	NULL	Alfin	Alfin 
PF12166	NULL	NULL	Piezo_RRas_bdg	Piezo non-specific cation channel, R-Ras-binding domain
PF12167	CL0081	MBD-like	Arm-DNA-bind_2	Arm DNA-binding domain
PF12168	NULL	NULL	DNA_pol3_tau_4	DNA polymerase III subunits tau domain IV DnaB-binding
PF12169	CL0604	post-AAA	DNA_pol3_gamma3	DNA polymerase III subunits gamma and tau domain III
PF12170	NULL	NULL	DNA_pol3_tau_5	DNA polymerase III tau subunit V interacting with alpha
PF12171	CL0361	C2H2-zf	zf-C2H2_jaz	Zinc-finger double-stranded RNA-binding
PF12172	CL0167	Zn_Beta_Ribbon	DUF35_N	Rubredoxin-like zinc ribbon domain (DUF35_N)
PF12173	NULL	NULL	BacteriocIIc_cy	Bacteriocin class IIc cyclic gassericin A-like
PF12174	NULL	NULL	RST	RCD1-SRO-TAF4 (RST) plant domain
PF12175	NULL	NULL	WSS_VP	White spot syndrome virus structural envelope protein VP
PF12176	NULL	NULL	MtaB	Methanol-cobalamin methyltransferase B subunit
PF12177	NULL	NULL	Proho_convert	Prohormone convertase enzyme
PF12178	NULL	NULL	INCENP_N	Chromosome passenger complex (CPC) protein INCENP N terminal
PF12179	NULL	NULL	IKKbetaNEMObind	I-kappa-kinase-beta NEMO binding domain
PF12180	NULL	NULL	EABR	TSG101 and ALIX binding domain of CEP55
PF12181	CL0123	HTH	MogR_DNAbind	DNA binding domain of the motility gene repressor (MogR)
PF12182	CL0116	Calycin	DUF3642	Bacterial lipoprotein
PF12183	CL0236	PDDEXK	NotI	Restriction endonuclease NotI
PF12185	NULL	NULL	IR1-M	Nup358/RanBP2 E3 ligase domain
PF12186	NULL	NULL	AcylCoA_dehyd_C	Acyl-CoA dehydrogenase C terminal
PF12187	CL0236	PDDEXK	VirArc_Nuclease	Viral/Archaeal nuclease
PF12188	NULL	NULL	STAT2_C	Signal transducer and activator of transcription 2 C terminal
PF12189	NULL	NULL	VirE1	Single-strand DNA-binding protein
PF12190	CL0547	GF_recep_C-rich	amfpi-1	Fungal protease inhibitor
PF12191	CL0607	TNF_receptor	stn_TNFRSF12A	Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain
PF12192	NULL	NULL	CBP	Fungal calcium binding protein
PF12193	NULL	NULL	Sulf_coat_C	Sulfolobus virus coat protein C terminal
PF12194	CL0128	vWA-like	Ste5_C	Protein kinase Fus3-binding
PF12195	CL0434	Sialidase	End_beta_barrel	Beta barrel domain of bacteriophage endosialidase
PF12196	NULL	NULL	hNIFK_binding	FHA Ki67 binding domain of hNIFK
PF12197	NULL	NULL	lci	Bacillus cereus group antimicrobial protein
PF12198	NULL	NULL	Tuberculin	Tuberculin-active protein
PF12199	NULL	NULL	efb-c	Extracellular fibrinogen binding protein C terminal
PF12200	NULL	NULL	DUF3597	Domain of unknown function (DUF3597)
PF12201	NULL	NULL	bcl-2I13	Bcl2-interacting killer, BH3-domain containing
PF12202	CL0487	FKBP	OSR1_C	Oxidative-stress-responsive kinase 1 C-terminal domain
PF12203	NULL	NULL	HDAC4_Gln	Glutamine rich N terminal domain of histone deacetylase 4
PF12204	CL0116	Calycin	DUF3598	Domain of unknown function (DUF3598)
PF12205	NULL	NULL	GIT1_C	G protein-coupled receptor kinase-interacting protein 1 C term
PF12206	NULL	NULL	DUF3599	Domain of unknown function (DUF3599)
PF12207	NULL	NULL	DUF3600	Domain of unknown function (DUF3600)
PF12208	CL0010	SH3	DUF3601	Domain of unknown function (DUF3601)
PF12209	NULL	NULL	SAC3	Leucine permease transcriptional regulator helical domain
PF12210	NULL	NULL	Hrs_helical	Hepatocyte growth factor-regulated tyrosine kinase substrate
PF12211	NULL	NULL	LMWSLP_N	Low molecular weight S layer protein N terminal
PF12212	CL0638	PAZ	PAZ_2	PAZ domain
PF12213	CL0671	AAA_lid	Dpoe2NT	DNA polymerases epsilon N terminal
PF12214	NULL	NULL	TPX2_importin	Cell cycle regulated microtubule associated protein
PF12215	CL0103	Gal_mutarotase	Glyco_hydr_116N	beta-glucosidase 2, glycosyl-hydrolase family 116 N-term
PF12216	NULL	NULL	m04gp34like	Immune evasion protein
PF12217	CL0434	Sialidase	End_beta_propel	Catalytic beta propeller domain of bacteriophage endosialidase
PF12218	CL0268	Pec_lyase-like	End_N_terminal	N terminal extension of bacteriophage endosialidase
PF12219	CL0606	Phage_fibre	End_tail_spike	Catalytic domain of bacteriophage endosialidase
PF12220	CL0221	RRM	U1snRNP70_N	U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
PF12221	NULL	NULL	HflK_N	Bacterial membrane protein N terminal
PF12222	NULL	NULL	PNGaseA	Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A
PF12223	NULL	NULL	DUF3602	Protein of unknown function (DUF3602)
PF12224	CL0286	GCS	Amidoligase_2	Putative amidoligase enzyme
PF12225	NULL	NULL	DUF5981	Methylene-tetrahydrofolate reductase C terminal
PF12226	NULL	NULL	Astro_capsid_p	Turkey astrovirus capsid protein
PF12227	NULL	NULL	DUF3603	Protein of unknown function (DUF3603)
PF12228	CL0034	Amidohydrolase	DUF3604	Protein of unknown function (DUF3604)
PF12229	NULL	NULL	PG_binding_4	Putative peptidoglycan binding domain
PF12230	NULL	NULL	PRP21_like_P	Pre-mRNA splicing factor PRP21 like protein
PF12231	NULL	NULL	Rif1_N	Rap1-interacting factor 1 N terminal
PF12232	NULL	NULL	Myf5	Myogenic determination factor 5
PF12233	NULL	NULL	p12I	Human adult T cell leukemia/lymphoma virus protein
PF12234	NULL	NULL	Rav1p_C	RAVE protein 1 C terminal
PF12235	NULL	NULL	FXMRP1_C_core	Fragile X-related 1 protein core C terminal
PF12236	NULL	NULL	Head-tail_con	Bacteriophage head to tail connecting protein
PF12237	NULL	NULL	PCIF1_WW	Phosphorylated CTD interacting factor 1 WW domain
PF12238	NULL	NULL	MSA-2c	Merozoite surface antigen 2c
PF12239	NULL	NULL	DUF3605	Protein of unknown function (DUF3605)
PF12240	CL0145	Golgi-transport	Angiomotin_C	Angiomotin C terminal
PF12241	CL0063	NADP_Rossmann	Enoyl_reductase	Trans-2-enoyl-CoA reductase catalytic region
PF12242	CL0063	NADP_Rossmann	Eno-Rase_NADH_b	NAD(P)H binding domain of trans-2-enoyl-CoA reductase
PF12243	CL0020	TPR	CTK3	CTD kinase subunit gamma CTK3
PF12244	NULL	NULL	DUF3606	Protein of unknown function (DUF3606)
PF12245	CL0159	E-set	Big_3_2	Bacterial Ig-like domain
PF12246	NULL	NULL	MKT1_C	Temperature dependent protein affecting M2 dsRNA replication
PF12247	NULL	NULL	MKT1_N	Temperature dependent protein affecting M2 dsRNA replication
PF12248	CL0004	Concanavalin	Methyltransf_FA	Farnesoic acid 0-methyl transferase
PF12249	NULL	NULL	AftA_C	Arabinofuranosyltransferase A C terminal
PF12250	CL0111	GT-C	AftA_N	Arabinofuranosyltransferase N terminal
PF12251	NULL	NULL	SNAPC3	snRNA-activating protein complex (SNAPc), subunit 3
PF12252	CL0237	HD_PDEase	SidE_PDE	SidE phosphodiesterase (PDE) domain
PF12253	NULL	NULL	CAF1A	Chromatin assembly factor 1 subunit A
PF12254	NULL	NULL	DNA_pol_alpha_N	DNA polymerase alpha subunit p180 N terminal
PF12255	NULL	NULL	TcdB_toxin_midC	Insecticide toxin TcdB middle/C-terminal region
PF12256	CL0186	Beta_propeller	TcdB_toxin_midN	Insecticide toxin TcdB middle/N-terminal region
PF12257	NULL	NULL	IML1	Vacuolar membrane-associated protein Iml1 
PF12258	NULL	NULL	Microcephalin	Microcephalin protein
PF12259	CL0595	Fusion_gly	Baculo_F	Baculovirus F protein
PF12260	CL0016	PKinase	PIP49_C	Protein-kinase domain of FAM69
PF12261	CL0257	Acetyltrans	T_hemolysin	Thermostable hemolysin
PF12262	CL0159	E-set	Lipase_bact_N	Bacterial virulence factor lipase N-terminal
PF12263	NULL	NULL	DUF3611	Protein of unknown function (DUF3611)
PF12264	CL0055	Nucleoplasmin	Waikav_capsid_1	Waikavirus capsid protein 1
PF12265	NULL	NULL	CAF1C_H4-bd	Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF12266	NULL	NULL	DUF3613	Protein of unknown function (DUF3613)
PF12267	NULL	NULL	DUF3614	Protein of unknown function (DUF3614)
PF12268	NULL	NULL	DUF3612	Protein of unknown function (DUF3612)
PF12269	NULL	NULL	CpG_bind_C	CpG binding protein C-terminal domain
PF12270	NULL	NULL	Cyt_c_ox_IV	Cytochrome c oxidase subunit IV
PF12271	CL0192	GPCR_A	Chs7	Chitin synthase export chaperone
PF12273	NULL	NULL	RCR	Chitin synthesis regulation, resistance to Congo red
PF12274	NULL	NULL	DUF3615	Protein of unknown function (DUF3615)
PF12275	CL0186	Beta_propeller	DUF3616	Protein of unknown function (DUF3616)
PF12276	NULL	NULL	DUF3617	Protein of unknown function (DUF3617)
PF12277	NULL	NULL	DUF3618	Protein of unknown function (DUF3618)
PF12278	NULL	NULL	SDP_N	Sex determination protein N terminal
PF12279	NULL	NULL	DUF3619	Protein of unknown function (DUF3619)
PF12280	NULL	NULL	BSMAP	Brain specific membrane anchored protein
PF12281	CL0260	NTP_transf	NTP_transf_8	Nucleotidyltransferase
PF12282	CL0161	GAF	PdtaS_GAF	Histidine kinase PdtaS, GAF domain
PF12283	NULL	NULL	Protein_K	Bacteriophage protein K
PF12284	NULL	NULL	HoxA13_N	Hox protein A13 N terminal
PF12285	NULL	NULL	Astrovir_pp_1	Astroviridae polyprotein 1
PF12286	NULL	NULL	DUF3622	Protein of unknown function (DUF3622)
PF12287	NULL	NULL	Caprin-1_C	Cytoplasmic activation/proliferation-associated protein-1 C term
PF12288	NULL	NULL	CsoS2_M	Carboxysome shell peptide mid-region
PF12289	NULL	NULL	Rotavirus_VP1	Rotavirus VP1 C-terminal domain
PF12290	NULL	NULL	DUF3802	Protein of unknown function (DUF3802)
PF12291	CL0316	Acyl_transf_3	DUF3623	Protein of unknown function (DUF3623)
PF12292	NULL	NULL	DUF3624	Protein of unknown function (DUF3624)
PF12293	NULL	NULL	T4BSS_DotH_IcmK	Putative outer membrane core complex of type IVb secretion
PF12294	NULL	NULL	DUF3626	Protein of unknown function (DUF3626)
PF12295	NULL	NULL	Symplekin_C	Symplekin tight junction protein C terminal
PF12296	NULL	NULL	HsbA	Hydrophobic surface binding protein A
PF12297	NULL	NULL	EVC2_like	Ellis van Creveld protein 2 like protein
PF12298	CL0123	HTH	Bot1p	Eukaryotic mitochondrial regulator protein 
PF12299	NULL	NULL	DUF3627	Protein of unknown function (DUF3627)
PF12300	NULL	NULL	RhlB	ATP-dependent RNA helicase RhlB 
PF12301	NULL	NULL	CD99L2	CD99 antigen like protein 2
PF12302	NULL	NULL	DUF3629	Protein of unknown function (DUF3629)
PF12304	NULL	NULL	BCLP	Beta-casein like protein
PF12305	CL0545	APCOP-app_sub	DUF3630	Protein of unknown function (DUF3630)
PF12306	CL0026	CU_oxidase	PixA	Inclusion body protein
PF12307	NULL	NULL	DUF3631	Protein of unknown function (DUF3631)
PF12308	NULL	NULL	Noelin-1	Neurogenesis glycoprotein
PF12309	NULL	NULL	KBP_C	KIF-1 binding protein C terminal
PF12310	NULL	NULL	Elf-1_N	Transcription factor protein N terminal
PF12311	NULL	NULL	DUF3632	Protein of unknown function (DUF3632)
PF12312	NULL	NULL	NeA_P2	Nepovirus subgroup A polyprotein 
PF12313	NULL	NULL	NPR1_like_C	NPR1/NIM1 like defence protein C terminal
PF12314	NULL	NULL	IMCp	Inner membrane complex protein
PF12315	CL0126	Peptidase_MA	DA1-like	Protein DA1
PF12316	NULL	NULL	Dsh_C	Segment polarity protein dishevelled (Dsh) C terminal
PF12317	NULL	NULL	IFT46_B_C	Intraflagellar transport complex B protein 46 C terminal
PF12318	NULL	NULL	FAD-SLDH	Membrane bound FAD containing D-sorbitol dehydrogenase 
PF12319	NULL	NULL	TryThrA_C	Tryptophan-Threonine-rich plasmodium antigen C terminal
PF12320	NULL	NULL	SbcD_C	Type 5 capsule protein repressor C-terminal domain
PF12321	NULL	NULL	DUF3634	Protein of unknown function (DUF3634)
PF12322	NULL	NULL	T4_baseplate	T4 bacteriophage base plate protein
PF12323	CL0123	HTH	HTH_OrfB_IS605	Helix-turn-helix domain
PF12324	CL0123	HTH	HTH_15	Helix-turn-helix domain of alkylmercury lyase
PF12325	NULL	NULL	TMF_TATA_bd	TATA element modulatory factor 1 TATA binding
PF12326	NULL	NULL	EOS1	N-glycosylation protein
PF12327	CL0442	Tubulin_C	FtsZ_C	FtsZ family, C-terminal domain
PF12328	CL0441	AlbA	Rpp20	Rpp20 subunit of nuclear RNase MRP and P
PF12329	NULL	NULL	TMF_DNA_bd	TATA element modulatory factor 1 DNA binding
PF12330	CL0016	PKinase	Haspin_kinase	Haspin like kinase domain
PF12331	NULL	NULL	DUF3636	Protein of unknown function (DUF3636) 
PF12333	NULL	NULL	Ipi1_N	Rix1 complex component involved in 60S ribosome maturation
PF12334	NULL	NULL	rOmpB	Rickettsia outer membrane protein B 
PF12335	NULL	NULL	SBF2	Myotubularin protein 
PF12336	NULL	NULL	SOXp	SOX transcription factor
PF12337	NULL	NULL	DUF3637	Protein of unknown function (DUF3637) 
PF12338	NULL	NULL	RbcS	Ribulose-1,5-bisphosphate carboxylase small subunit
PF12339	NULL	NULL	DNAJ_related	DNA-J related protein 
PF12340	NULL	NULL	DUF3638	Protein of unknown function (DUF3638)
PF12341	CL0434	Sialidase	Mcl1_mid	Minichromosome loss protein, Mcl1, middle region
PF12342	NULL	NULL	DUF3640	Protein of unknown function (DUF3640) 
PF12343	NULL	NULL	DeaD_C	DeaD helicase C-terminal disordered region
PF12344	CL0023	P-loop_NTPase	UvrB	Ultra-violet resistance protein B
PF12345	NULL	NULL	DUF3641	Protein of unknown function (DUF3641) 
PF12346	NULL	NULL	HJURP_mid	Holliday junction recognition protein-associated repeat
PF12347	NULL	NULL	HJURP_C	Holliday junction regulator protein family C-terminal repeat
PF12348	CL0020	TPR	CLASP_N	CLASP N terminal
PF12349	CL0322	RND_permease	Sterol-sensing	Sterol-sensing domain of SREBP cleavage-activation
PF12350	NULL	NULL	CTK3_C	CTD kinase subunit gamma CTK3 C-terminus
PF12351	CL0375	Transporter	Fig1	Ca2+ regulator and membrane fusion protein Fig1
PF12352	CL0147	Traffic	V-SNARE_C	Snare region anchored in the vesicle membrane C-terminus
PF12353	CL0511	Retroviral_zf	eIF3g	Eukaryotic translation initiation factor 3 subunit G 
PF12354	CL0220	EF_hand	Internalin_N	Bacterial adhesion/invasion protein N terminal
PF12355	NULL	NULL	Dscam_C	Down syndrome cell adhesion molecule C terminal 
PF12356	NULL	NULL	BIRC6	Baculoviral IAP repeat-containing protein 6  
PF12357	NULL	NULL	PLD_C	Phospholipase D C terminal 
PF12358	NULL	NULL	DUF3644	Protein of unknown function (DUF3644) 
PF12359	NULL	NULL	DUF3645	Protein of unknown function (DUF3645) 
PF12360	NULL	NULL	Pax7	Paired box protein 7 
PF12361	NULL	NULL	DBP	Duffy-antigen binding protein 
PF12362	NULL	NULL	DUF3646	DNA polymerase III gamma and tau subunits C terminal
PF12363	CL0567	Phage_TACs	Phage_TAC_12	Phage tail assembly chaperone protein, TAC
PF12364	NULL	NULL	DUF3648	Protein of unknown function (DUF3648) 
PF12365	NULL	NULL	DUF3649	Protein of unknown function (DUF3649) 
PF12366	NULL	NULL	Casc1_C	Cancer susceptibility candidate 1 C-terminal 
PF12367	NULL	NULL	PFO_beta_C	Pyruvate ferredoxin oxidoreductase beta subunit C terminal
PF12368	NULL	NULL	Rhodanese_C	Rhodanase C-terminal
PF12369	NULL	NULL	GnHR_trans	Gonadotropin hormone receptor transmembrane region 
PF12371	CL0556	PapD-like	TMEM131_like_N	Transmembrane protein 131-like N-terminal
PF12372	NULL	NULL	DUF3652	Huntingtin protein region 
PF12373	NULL	NULL	Msg2_C	Major surface glycoprotein 2 C terminal
PF12374	NULL	NULL	Dmrt1	Double-sex mab3 related transcription factor 1
PF12375	NULL	NULL	DUF3653	Phage protein
PF12376	NULL	NULL	DUF3654	Protein of unknown function (DUF3654) 
PF12377	NULL	NULL	DuffyBP_N	Duffy binding protein N terminal 
PF12378	CL0186	Beta_propeller	P1_N	Mycoplasma adhesin P1, N-terminal
PF12379	NULL	NULL	bCoV_NSP3_N	Betacoronavirus replicase NSP3, N-terminal
PF12380	CL0124	Peptidase_PA	Peptidase_C62	Gill-associated viral 3C-like peptidase
PF12381	CL0124	Peptidase_PA	Peptidase_C3G	Tungro spherical virus-type peptidase
PF12382	CL0129	Peptidase_AA	Peptidase_A2_2	Retrotransposon peptidase
PF12383	NULL	NULL	SARS_3b	Severe acute respiratory syndrome coronavirus 3b protein
PF12384	CL0129	Peptidase_AA	Peptidase_A2B	Ty3 transposon peptidase
PF12385	CL0125	Peptidase_CA	Peptidase_C70	Papain-like cysteine protease AvrRpt2
PF12386	CL0125	Peptidase_CA	Peptidase_C71	Pseudomurein endo-isopeptidase Pei
PF12387	NULL	NULL	Peptidase_C74	Pestivirus NS2 peptidase
PF12388	CL0126	Peptidase_MA	Peptidase_M57	Dual-action HEIGH metallo-peptidase
PF12389	NULL	NULL	Peptidase_M73	Camelysin metallo-endopeptidase
PF12390	NULL	NULL	Se-cys_synth_N	Selenocysteine synthase N terminal
PF12391	NULL	NULL	PCDO_beta_N	Protocatechuate 3,4-dioxygenase beta subunit N terminal
PF12392	NULL	NULL	DUF3656	Collagenase 
PF12393	NULL	NULL	Dr_adhesin	Dr family adhesin 
PF12394	NULL	NULL	DUF3657	Protein FAM135 
PF12395	NULL	NULL	DUF3658	Protein of unknown function 
PF12396	NULL	NULL	DUF3659	Protein of unknown function (DUF3659) 
PF12397	NULL	NULL	U3snoRNP10	U3 small nucleolar RNA-associated protein 10 
PF12398	NULL	NULL	DUF3660	Receptor serine/threonine kinase 
PF12399	CL0023	P-loop_NTPase	BCA_ABC_TP_C	Branched-chain amino acid ATP-binding cassette transporter
PF12400	NULL	NULL	STIMATE	STIMATE family
PF12401	NULL	NULL	FhaA_N	FhaA, N-terminal domain
PF12402	NULL	NULL	nlz1	NocA-like zinc-finger protein 1
PF12403	NULL	NULL	Pax2_C	Paired-box protein 2 C terminal
PF12404	NULL	NULL	DUF3663	Peptidase 
PF12406	NULL	NULL	DUF3664	Surface protein 
PF12407	NULL	NULL	Abdominal-A	Homeobox protein 
PF12408	NULL	NULL	DUF3666	Ribose-5-phosphate isomerase 
PF12409	NULL	NULL	P5-ATPase	P5-type ATPase cation transporter
PF12410	NULL	NULL	rpo30_N	Poxvirus DNA dependent RNA polymerase 30kDa subunit 
PF12411	NULL	NULL	Choline_sulf_C	Choline sulfatase enzyme C terminal 
PF12412	NULL	NULL	DUF3667	Protein of unknown function (DUF3667)
PF12413	NULL	NULL	DLL_N	Homeobox protein distal-less-like N terminal 
PF12414	NULL	NULL	Fox-1_C	Calcitonin gene-related peptide regulator C terminal
PF12415	NULL	NULL	rpo132	Poxvirus DNA dependent RNA polymerase
PF12416	NULL	NULL	DUF3668	Cep120 protein
PF12417	NULL	NULL	DUF3669	Zinc finger protein 
PF12418	NULL	NULL	AcylCoA_DH_N	Acyl-CoA dehydrogenase N terminal 
PF12419	NULL	NULL	DUF3670	SNF2 Helicase protein 
PF12420	NULL	NULL	DUF3671	Protein of unknown function 
PF12421	NULL	NULL	DUF3672	Fibronectin type III protein 
PF12422	NULL	NULL	Condensin2nSMC	Condensin II non structural maintenance of chromosomes subunit
PF12423	NULL	NULL	KIF1B	Kinesin protein 1B
PF12424	NULL	NULL	ATP_Ca_trans_C	Plasma membrane calcium transporter ATPase C terminal
PF12425	NULL	NULL	DUF3673	Protein of unknown function (DUF3673) 
PF12426	NULL	NULL	DUF3674	RNA dependent RNA polymerase
PF12428	NULL	NULL	DUF3675	Protein of unknown function (DUF3675) 
PF12429	NULL	NULL	DUF3676	Protein of unknown function (DUF3676) 
PF12430	NULL	NULL	ABA_GPCR	Abscisic acid G-protein coupled receptor 
PF12431	NULL	NULL	CitT	Transcriptional regulator 
PF12432	NULL	NULL	DUF3677	Protein of unknown function (DUF3677) 
PF12433	CL0169	Rep	PV_NSP1	Parvovirus non-structural protein 1 
PF12434	NULL	NULL	Malate_DH	Malate dehydrogenase enzyme 
PF12435	NULL	NULL	DUF3678	Protein of unknown function (DUF3678) 
PF12436	CL0072	Ubiquitin	USP7_ICP0_bdg	ICP0-binding domain of Ubiquitin-specific protease 7
PF12437	NULL	NULL	GSIII_N	Glutamine synthetase type III N terminal 
PF12438	NULL	NULL	DUF3679	Protein of unknown function (DUF3679) 
PF12439	NULL	NULL	GDE_N	Glycogen debranching enzyme N terminal
PF12440	NULL	NULL	MAGE_N	Melanoma associated antigen family N terminal 
PF12441	CL0057	Met_repress	CopG_antitoxin	CopG antitoxin of type II toxin-antitoxin system 
PF12442	NULL	NULL	DUF3681	Protein of unknown function (DUF3681) 
PF12443	NULL	NULL	AKNA	AT-hook-containing transcription factor
PF12444	NULL	NULL	Sox_N	Sox developmental protein N terminal 
PF12445	NULL	NULL	FliC	Flagellin protein 
PF12446	NULL	NULL	DUF3682	Protein of unknown function (DUF3682)
PF12447	NULL	NULL	DUF3683	Protein of unknown function (DUF3683)
PF12448	NULL	NULL	Milton	Kinesin associated protein
PF12449	NULL	NULL	DUF3684	Protein of unknown function (DUF3684) 
PF12450	NULL	NULL	vWF_A	von Willebrand factor 
PF12451	NULL	NULL	VPS11_C	Vacuolar protein sorting protein 11 C terminal
PF12452	NULL	NULL	DUF3685	Protein of unknown function (DUF3685) 
PF12453	NULL	NULL	PTP_N	Protein tyrosine phosphatase N terminal 
PF12454	NULL	NULL	Ecm33	GPI-anchored cell wall organization protein
PF12455	NULL	NULL	Dynactin	Dynein associated protein 
PF12456	CL0266	PH	hSac2	Inositol phosphatase 
PF12457	NULL	NULL	TIP_N	Tuftelin interacting protein N terminal 
PF12458	NULL	NULL	DUF3686	ATPase involved in DNA repair 
PF12459	NULL	NULL	DUF3687	D-Ala-teichoic acid biosynthesis protein
PF12460	CL0020	TPR	MMS19_C	RNAPII transcription regulator C-terminal
PF12461	NULL	NULL	DUF3688	Spiroplasma phage ORF1-like family
PF12462	NULL	NULL	Helicase_IV_N	DNA helicase IV / RNA helicase N terminal
PF12463	NULL	NULL	DUF3689	Protein of unknown function (DUF3689) 
PF12464	NULL	NULL	Mac	Maltose acetyltransferase 
PF12465	NULL	NULL	Pr_beta_C	Proteasome beta subunits C terminal 
PF12466	NULL	NULL	GDH_N	Glutamate dehydrogenase N terminal
PF12467	NULL	NULL	CMV_1a	Cucumber mosaic virus 1a protein family
PF12468	CL0022	LRR	TTSSLRR	Type III secretion system leucine rich repeat protein  
PF12469	CL0276	Nucleot_cyclase	Cmr2_N	CRISPR-associated protein Cmr2, N-terminal
PF12470	NULL	NULL	SUFU_C	Suppressor of Fused Gli/Ci N terminal binding domain
PF12471	NULL	NULL	GTP_CH_N	GTP cyclohydrolase N terminal 
PF12472	NULL	NULL	DUF3693	Phage related protein
PF12473	NULL	NULL	DUF3694	Kinesin protein 
PF12474	NULL	NULL	PKK	Polo kinase kinase 
PF12475	NULL	NULL	Amdo_NSP	Amdovirus non-structural protein 
PF12476	NULL	NULL	DUF3696	Protein of unknown function (DUF3696)
PF12477	NULL	NULL	TraW_N	Sex factor F TraW protein N terminal
PF12478	NULL	NULL	DUF3697	Ubiquitin-associated protein 2 
PF12479	NULL	NULL	DUF3698	Protein of unknown function (DUF3698) 
PF12480	NULL	NULL	DUF3699	Protein of unknown function (DUF3699) 
PF12481	CL0052	NTN	DUF3700	Aluminium induced protein 
PF12482	CL0198	HHH	DUF3701	Phage integrase protein
PF12483	NULL	NULL	GIDE	E3 Ubiquitin ligase
PF12484	NULL	NULL	PPE-SVP	PPE-SVP subfamily C-terminal region
PF12485	NULL	NULL	SLY	Lymphocyte signaling adaptor protein
PF12486	NULL	NULL	VasL	Type VI secretion system, EvfB, or VasL
PF12487	NULL	NULL	DUF3703	Protein of unknown function (DUF3703) 
PF12488	NULL	NULL	DUF3704	Protein of unknown function (DUF3704) 
PF12489	NULL	NULL	ARA70	Nuclear coactivator
PF12490	NULL	NULL	BCAS3	Breast carcinoma amplified sequence 3 
PF12491	NULL	NULL	ApoB100_C	Apolipoprotein B100 C terminal
PF12493	NULL	NULL	DUF3709	Protein of unknown function (DUF3709)
PF12494	NULL	NULL	DUF3695	Protein of unknown function (DUF3695) 
PF12495	NULL	NULL	Vip3A_N	Vegetative insecticide protein 3A N terminal 
PF12496	NULL	NULL	BNIP2	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
PF12497	NULL	NULL	ERbeta_N	Estrogen receptor beta
PF12498	NULL	NULL	bZIP_C	Basic leucine-zipper C terminal
PF12499	NULL	NULL	DUF3707	Pherophorin 
PF12500	NULL	NULL	TRSP	TRSP domain C terminus to PRTase_2 
PF12501	NULL	NULL	DUF3708	Phosphate ATP-binding cassette transporter
PF12502	NULL	NULL	DUF3710	Protein of unknown function (DUF3710) 
PF12503	NULL	NULL	CMV_1a_C	Cucumber mosaic virus 1a protein C terminal 
PF12505	NULL	NULL	DUF3712	Protein of unknown function (DUF3712)
PF12506	NULL	NULL	DUF3713	Protein of unknown function (DUF3713)
PF12507	NULL	NULL	HCMV_UL139	Human Cytomegalovirus UL139 protein
PF12508	NULL	NULL	Transposon_TraM	Conjugative transposon, TraM  
PF12509	NULL	NULL	DUF3715	Protein of unknown function (DUF3715)
PF12510	NULL	NULL	Smoothelin	Smoothelin cytoskeleton protein
PF12511	NULL	NULL	DUF3716	Protein of unknown function (DUF3716) 
PF12512	NULL	NULL	DUF3717	Protein of unknown function (DUF3717) 
